episodio,resultado,vitorias,derrotas,empates
1,Vitoria,1,0,0
2,Derrota,1,1,0
3,Empate,1,1,1
4,Derrota,1,2,1
5,Derrota,1,3,1
6,Derrota,1,4,1
7,Derrota,1,5,1
8,Derrota,1,6,1
9,Derrota,1,7,1
10,Derrota,1,8,1
11,Vitoria,2,8,1
12,Derrota,2,9,1
13,Derrota,2,10,1
14,Derrota,2,11,1
15,Derrota,2,12,1
16,Derrota,2,13,1
17,Empate,2,13,2
18,Derrota,2,14,2
19,Empate,2,14,3
20,Derrota,2,15,3
21,Derrota,2,16,3
22,Derrota,2,17,3
23,Vitoria,3,17,3
24,Derrota,3,18,3
25,Derrota,3,19,3
26,Derrota,3,20,3
27,Vitoria,4,20,3
28,Derrota,4,21,3
29,Derrota,4,22,3
30,Derrota,4,23,3
31,Empate,4,23,4
32,Derrota,4,24,4
33,Derrota,4,25,4
34,Derrota,4,26,4
35,Vitoria,5,26,4
36,Vitoria,6,26,4
37,Derrota,6,27,4
38,Derrota,6,28,4
39,Vitoria,7,28,4
40,Derrota,7,29,4
41,Empate,7,29,5
42,Derrota,7,30,5
43,Derrota,7,31,5
44,Derrota,7,32,5
45,Derrota,7,33,5
46,Derrota,7,34,5
47,Derrota,7,35,5
48,Derrota,7,36,5
49,Vitoria,8,36,5
50,Derrota,8,37,5
51,Empate,8,37,6
52,Derrota,8,38,6
53,Vitoria,9,38,6
54,Derrota,9,39,6
55,Derrota,9,40,6
56,Derrota,9,41,6
57,Derrota,9,42,6
58,Derrota,9,43,6
59,Vitoria,10,43,6
60,Derrota,10,44,6
61,Derrota,10,45,6
62,Derrota,10,46,6
63,Derrota,10,47,6
64,Empate,10,47,7
65,Empate,10,47,8
66,Derrota,10,48,8
67,Derrota,10,49,8
68,Derrota,10,50,8
69,Vitoria,11,50,8
70,Derrota,11,51,8
71,Empate,11,51,9
72,Vitoria,12,51,9
73,Derrota,12,52,9
74,Derrota,12,53,9
75,Vitoria,13,53,9
76,Derrota,13,54,9
77,Derrota,13,55,9
78,Derrota,13,56,9
79,Derrota,13,57,9
80,Derrota,13,58,9
81,Derrota,13,59,9
82,Derrota,13,60,9
83,Derrota,13,61,9
84,Derrota,13,62,9
85,Derrota,13,63,9
86,Vitoria,14,63,9
87,Derrota,14,64,9
88,Derrota,14,65,9
89,Empate,14,65,10
90,Derrota,14,66,10
91,Derrota,14,67,10
92,Derrota,14,68,10
93,Derrota,14,69,10
94,Derrota,14,70,10
95,Derrota,14,71,10
96,Derrota,14,72,10
97,Vitoria,15,72,10
98,Vitoria,16,72,10
99,Derrota,16,73,10
100,Derrota,16,74,10
101,Derrota,16,75,10
102,Vitoria,17,75,10
103,Vitoria,18,75,10
104,Derrota,18,76,10
105,Derrota,18,77,10
106,Derrota,18,78,10
107,Empate,18,78,11
108,Derrota,18,79,11
109,Derrota,18,80,11
110,Derrota,18,81,11
111,Vitoria,19,81,11
112,Derrota,19,82,11
113,Empate,19,82,12
114,Empate,19,82,13
115,Derrota,19,83,13
116,Derrota,19,84,13
117,Derrota,19,85,13
118,Derrota,19,86,13
119,Derrota,19,87,13
120,Empate,19,87,14
121,Empate,19,87,15
122,Derrota,19,88,15
123,Derrota,19,89,15
124,Derrota,19,90,15
125,Derrota,19,91,15
126,Derrota,19,92,15
127,Derrota,19,93,15
128,Derrota,19,94,15
129,Derrota,19,95,15
130,Derrota,19,96,15
131,Derrota,19,97,15
132,Derrota,19,98,15
133,Empate,19,98,16
134,Vitoria,20,98,16
135,Derrota,20,99,16
136,Empate,20,99,17
137,Derrota,20,100,17
138,Empate,20,100,18
139,Empate,20,100,19
140,Derrota,20,101,19
141,Vitoria,21,101,19
142,Derrota,21,102,19
143,Empate,21,102,20
144,Derrota,21,103,20
145,Derrota,21,104,20
146,Vitoria,22,104,20
147,Empate,22,104,21
148,Derrota,22,105,21
149,Derrota,22,106,21
150,Derrota,22,107,21
151,Derrota,22,108,21
152,Derrota,22,109,21
153,Derrota,22,110,21
154,Vitoria,23,110,21
155,Empate,23,110,22
156,Vitoria,24,110,22
157,Derrota,24,111,22
158,Derrota,24,112,22
159,Derrota,24,113,22
160,Derrota,24,114,22
161,Derrota,24,115,22
162,Derrota,24,116,22
163,Empate,24,116,23
164,Empate,24,116,24
165,Derrota,24,117,24
166,Derrota,24,118,24
167,Derrota,24,119,24
168,Derrota,24,120,24
169,Derrota,24,121,24
170,Derrota,24,122,24
171,Derrota,24,123,24
172,Vitoria,25,123,24
173,Vitoria,26,123,24
174,Derrota,26,124,24
175,Empate,26,124,25
176,Derrota,26,125,25
177,Derrota,26,126,25
178,Vitoria,27,126,25
179,Vitoria,28,126,25
180,Empate,28,126,26
181,Empate,28,126,27
182,Derrota,28,127,27
183,Empate,28,127,28
184,Derrota,28,128,28
185,Vitoria,29,128,28
186,Derrota,29,129,28
187,Derrota,29,130,28
188,Vitoria,30,130,28
189,Derrota,30,131,28
190,Derrota,30,132,28
191,Vitoria,31,132,28
192,Empate,31,132,29
193,Derrota,31,133,29
194,Derrota,31,134,29
195,Derrota,31,135,29
196,Derrota,31,136,29
197,Derrota,31,137,29
198,Derrota,31,138,29
199,Derrota,31,139,29
200,Derrota,31,140,29
201,Vitoria,32,140,29
202,Derrota,32,141,29
203,Derrota,32,142,29
204,Derrota,32,143,29
205,Derrota,32,144,29
206,Derrota,32,145,29
207,Vitoria,33,145,29
208,Derrota,33,146,29
209,Empate,33,146,30
210,Derrota,33,147,30
211,Derrota,33,148,30
212,Derrota,33,149,30
213,Empate,33,149,31
214,Vitoria,34,149,31
215,Derrota,34,150,31
216,Derrota,34,151,31
217,Derrota,34,152,31
218,Derrota,34,153,31
219,Empate,34,153,32
220,Derrota,34,154,32
221,Derrota,34,155,32
222,Derrota,34,156,32
223,Derrota,34,157,32
224,Derrota,34,158,32
225,Vitoria,35,158,32
226,Vitoria,36,158,32
227,Vitoria,37,158,32
228,Vitoria,38,158,32
229,Derrota,38,159,32
230,Derrota,38,160,32
231,Vitoria,39,160,32
232,Derrota,39,161,32
