episodio,resultado,vitorias,derrotas,empates
1,Derrota,0,1,0
2,Derrota,0,2,0
3,Derrota,0,3,0
4,Derrota,0,4,0
5,Derrota,0,5,0
6,Derrota,0,6,0
7,Derrota,0,7,0
8,Derrota,0,8,0
9,Derrota,0,9,0
10,Derrota,0,10,0
11,Derrota,0,11,0
12,Empate,0,11,1
13,Derrota,0,12,1
14,Derrota,0,13,1
15,Empate,0,13,2
16,Derrota,0,14,2
17,Derrota,0,15,2
18,Derrota,0,16,2
19,Empate,0,16,3
20,Derrota,0,17,3
21,Derrota,0,18,3
22,Derrota,0,19,3
23,Empate,0,19,4
24,Derrota,0,20,4
25,Empate,0,20,5
26,Empate,0,20,6
27,Derrota,0,21,6
28,Derrota,0,22,6
29,Empate,0,22,7
30,Derrota,0,23,7
31,Empate,0,23,8
32,Derrota,0,24,8
33,Derrota,0,25,8
34,Empate,0,25,9
35,Empate,0,25,10
36,Derrota,0,26,10
37,Empate,0,26,11
38,Derrota,0,27,11
39,Empate,0,27,12
40,Empate,0,27,13
41,Empate,0,27,14
42,Derrota,0,28,14
43,Derrota,0,29,14
44,Derrota,0,30,14
45,Empate,0,30,15
46,Derrota,0,31,15
47,Derrota,0,32,15
48,Empate,0,32,16
49,Empate,0,32,17
50,Derrota,0,33,17
51,Empate,0,33,18
52,Empate,0,33,19
53,Empate,0,33,20
54,Derrota,0,34,20
55,Derrota,0,35,20
56,Derrota,0,36,20
57,Empate,0,36,21
58,Empate,0,36,22
59,Derrota,0,37,22
60,Derrota,0,38,22
61,Empate,0,38,23
62,Derrota,0,39,23
63,Empate,0,39,24
64,Derrota,0,40,24
65,Derrota,0,41,24
66,Derrota,0,42,24
67,Empate,0,42,25
68,Derrota,0,43,25
69,Empate,0,43,26
70,Derrota,0,44,26
71,Empate,0,44,27
72,Derrota,0,45,27
73,Empate,0,45,28
74,Derrota,0,46,28
75,Derrota,0,47,28
76,Derrota,0,48,28
77,Empate,0,48,29
78,Derrota,0,49,29
79,Derrota,0,50,29
80,Derrota,0,51,29
